Ingredient List,Sweeteners?
"Organic Jaggery, Cumin Seed, CARBONATED WATER",Organic Jaggery
"Refined Wheat Flour, SYNTHETIC FOOD COLOURS (INS 102 & 133), SYNTHETIC FOOD COLOURS (E102 & E133), MANGO PULP, CHOCO CREAM, sodium nitrite",nil
"azodicarbonamide, Sodium Hydrogen Carbonate (Raising Agent, E500 (ii)), polydextrose, ADDED FLAVOUR SUBSTANCES, alpha tocopherols, Stevia",Stevia
"Sodium Polyphosphate (Emulsifying Agent, E452(i)), Red Chilli Powder, Organic Whole Millets Flour, sodium erythorbate",nil
"ELAICHI FLAVOUR, Sodium Hydrogen Carbonate (Raising Agent, E500 (ii)), alpha tocopherols, Sunflower Oil, iron or ferrous sulfate, Refined Wheat flour (Maida), lactase",nil
"ammonium phosphate, INVERT SUGAR SYRUP, STABILIZER (PECTIN) , EMULSIFIERS (INS 322(1), INS 471)., niacin",INVERT SUGAR SYRUP
"calcium sorbate, BUTTER, Vitamin D",nil
"Artificial flavoring substance., carrageenan, Malt Extract",Malt Extract
"polydextrose, Calcium chloride, ALMOND, Thickener (508), acesulfame potassium, mono- and diglycerides, CARBONATED WATER",acesulfame potassium
"RAISING AGENTS [503(ii),500(ii)], nitrous oxide, corn flour, Cumin Seed, FD&C Yellow Nos. 5 and 6, Maltitol",Maltitol
"Vitamin A (Ace Vitamin D2 (Ergocalciferol), saccharin, beta-carotene",saccharin
"Emulsifier (INS 322), WHEAT GLUTEN, Vitamin A (Ace Vitamin D2 (Ergocalciferol), Edible vegetable oil (Palm oil), COLOUR(S) (INS 150c, INS 150d), Antioxidant (INS 307b), Flavour Enhancers E627 E631",nil
"IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], beta carotene, alpha tocopherols, Palm oil, EDIBLE VEGETABLE OIL (PALM)",nil
"Acidity regulator (339(1)), xanthan gum, citric acid, Food Colours (171, 110, 102),",nil
"Lactic acid, IODISED SALT, HYDROGENATED VEGETABLE FAT, cocoa solids, SYNTHETIC FOOD COLOUR (INS 133)",nil
"Black Salt, Wheat Flour, FRUIT JUICE POWDER",nil
"Acesulfame Potassium (Ace-K), PRESERVATIVE (211), IMPROVERS[170(1) 510]",Acesulfame Potassium (Ace-K)
"autolyzed yeast extract, Edible starch, WHEAT BRAN, FLAVOURING SUBSTANCES-CHOCOLATE",nil
"NATURAL SPICE OILS, xanthan gum, Milk, Vitamins",nil
"Calcium sulfate, Glycerin, mineral (Calcium carbonate), Tricalcium Phosphate",nil
"CHOCO CREAM, Acidity regulators (5000), 5010))&170(0)), Spices & Condiments, Flax & Sesame Seeds, Agave nectar",Agave nectar
"Palm oil, Toned Milk, Humectant (4510), WHEAT FLOUR, Glycerin",nil
"Neotame, Asafoetida, calcium carbonate, Citrus Red No. 2, Aspartame, Stevia","Neotame, Aspartame, Stevia"
"Peas, Ascorbic acid, Refined Wheat Flour, rennet",nil
"HYDROGENATED VEGETABLE FAT, HYDROGENATED VEGETABLE OIL, IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], Edible Vegetable Oil (Soyabean, Palmolein)",nil
"Refined Palmolein oil, PRESERVATIVE-211, Antioxidant (300)., Cocoa solids, iron ammonium citrate, SYNTHETIC FOOD COLOURS (110, 102)",nil
"Red Chilli Powder, Acidity Regulator (INS 330), NATURAL COLOUR (150d), Bengal gram dal",nil
"Mannitol, saffron, REFINED WHEAT FLOUR (53%)",Mannitol
"Monosodium glutamate, SOYA FLOUR, NATURAL SPICE OILS, Sodium Benzoate (INS 211)., Maltitol, ANTIOXIDANT (INS 322(1)), Whole Wheat Flour",Maltitol
"Acesulfame Potassium (Ace-K),  ACIDITY REGULATORS (330, 331()), whey, Thickener (508), SWEETENER (955)., HYDROGENATED VEGETABLE FAT, Steviol Glycosides","Acesulfame Potassium (Ace-K), SWEETENER (955)., Steviol Glycosides"
"Acidity regulators (330&500()), NATURE IDENTICAL FLAVOURING SUBSTANCES CHOCOLATE, Black Salt",nil
"calcium sorbate, sodium carbonate, Vitamin D, Noodle powder, EMULSIFIERS (E322, E476)., Palm oil, neotame",neotame
"hydrolyzed soy protein, Acidity Regulator (INS 330), L-cysteine, PRESERVATIVE (211), beta-carotene",nil
"Sorbitol, EMULS 472e, 481 (1), Sesame Seeds, High-fructose corn syrup (HFCS), beta carotene","Sorbitol, High-fructose corn syrup (HFCS)"
"Ascorbic acid, Leavening Agent (INS 500 {i}), sorbitan monostearate, sodium nitrite, colour (INS 150d), Jaggery",Jaggery
"ACIDITY REGULATOR (CITRIC ACID), Mixed Spices, LEMON JUICE CONCENTRATE",nil
"caramel color, calcium propionate, EMULSIFIERS (322,472e,471), ADDED ORANGE FLAVOURS , Gelatin, lodized Salt, Edible Vegetable Fat",nil
"Dry Fruits powder, NATURAL CEREAL FIBRE, Natural flavoring, L-cysteine, EDIBLE COMMON SALT",nil
"Calcium silicate, EDIBLE VEGETABLE OIL, Thickener (508), COMMON SALT, Whole Wheat Flour, SOYA FLOUR",nil
"Vitamins, GLUTEN, L-leucine, Sorbitol, IODISED SALT",Sorbitol
"Acidity regulators (5000), 5010))&170(0)), high fructose corn syrup, disodium guanylate or inosinate, Flavour Enhancers E627 E631, citric acid",high fructose corn syrup
"L-leucine, Gelatin, Organic Whole Wheat Flour, FLAVOURING SUBSTANCES-CHOCOLATE, LEMON JUICE CONCENTRATE, colour (INS 150d), HYDROGENATED VEGETABLE FAT",nil
"calcium sorbate, Calcium sulfate, Palmolien Oil, Ferrous Citrate, Acidity Regulator (330), Acidity Regulator(INS 330 & INS 260), RAISING AGENTS[503(ii),500 (ii),450(1)]",nil
"Emulsifier (INS 322), Bengal gram dal, IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], Maltodextrin, NATURAL SPICE EXTRACTS, Erythritol","Maltodextrin, Erythritol"
"Hydrogenated vegetable fat, Cinnamon, whey protein concentrate, CONTAINS PERMITTED NATURAL COLOUR",nil
"Refined Wheat Flour, cochineal extract or carmine, Lactic acid, BHA, Thiamine hydrochloride, EDIBLE COMMON SALT",nil
"CHOCO CREAM, MALTITOL (965), SPICES AND CONDIMENTS ",MALTITOL (965)
"Edible Vegetable Fat, FD&C Blue Nos. 1 and 2, Noodle powder",nil
"Flavour enhancer (635), Edible Salt, Vitamin E, Malt Extract",Malt Extract
"NATURAL COLOUR (150d), Dextrose, WHOLE WHEAT FLOUR(ATTA), L-leucine, xanthan gum, sodium carbonate, Rice Flakes",Dextrose
"Lactic acid, Erythritol, COCOA BUTTER, Lactitol, rennet, EDTA, Orange Fruit Powder","Erythritol, Lactitol"
"COCOA SOLIDS, CHOCO CREAM, ANTICIDANT [300], Tomato Powder, WHEAT BRAN",nil
"Anticaking Agent (INS 551), sodium nitrite, folate or folic acid",nil
"FLOUR, ANTIOXIDANT (INS 322(1)), Acesulfame Potassium (Ace-K), mineral (Calcium carbonate), Whole Wheat Flour",Acesulfame Potassium (Ace-K)
"EMULSIFIERS [481(i), 471 & 472e], tocopherols, SOYA FLOUR, Artificial flavoring substance.",nil
"SYNTHETIC FOOD COLOUR (INS 133), CONTAINS PERMITTED NATURAL COLOUR, high fructose corn syrup, sorbitan monostearate, L-tryptophan, paprika oleoresin, rennet",high fructose corn syrup
"EDIBLE VEGETABLE OIL, Sorbitol, IMPROVERS[170(1) 510], Enzymes, Antioxidant (INS 320)",Sorbitol
"acesulfame-K, IMPROVERS[170(1) 510], Edible Vegetable Oil (Palmolein Oil), Acesulfame Potassium (Ace-K), ARTIFICIAL FLAVOURING SUBSTANCES, ORANGE JUICE","acesulfame-K, Acesulfame Potassium (Ace-K)"
"Acidity regulators (330&500()), FD&C Yellow Nos. 5 and 6, HYDROGENATED VEGETABLE FAT, Calcium silicate",nil
"Calcium silicate, Citric Acid (Acidifying Agent, E330), Milk, Steviol Glycosides, mineral (Calcium carbonate), Maize Starch, saffron",Steviol Glycosides
"tocopherols, Soya Flour, pectin",nil
"STABILIZER (E 440), NATURAL CEREAL FIBRE, Ammonium sulfate",nil
"Tertiary Butylhydroquinone (Antioxidant, E319), Calcium silicate, Ammonium sulfate, Leavening agents ((5000), 503))",nil
"IMPROVERS[170(1) 510], Erythritol, Rock Salt, EMULSIFIERS [481(i), 471 & 472e], saccharin","Erythritol, saccharin"
"Acidity Regular (INS-330), Baking soda, Water",nil
"Stevia, ANTICIDANT [300], Toned Milk, Soy lecithin",Stevia
"Organic Jaggery, Iodized salt, Emulsifier (Soya lecithin), ACIDITY REGULATORS (338, 331, 330), NATURAL COLOUR (150d), ARTIFICIAL FLAVOURING SUBSTANCE VANILLA AND MILK, Acidity Regulator (INS-330)",Organic Jaggery
"EDIBLE COMMON SALT, Maize Starch, CHOCO CREAM, INVERT SUGAR SYRUP",INVERT SUGAR SYRUP
"Jaggery, Palmolein, Emulsifier (Soya lecithin), calcium lactate, Saccharin, acesulfame potassium, Preservative (282)","Jaggery, Saccharin, acesulfame potassium"
"Guava Pulp, RAISING NTS (INS 503(ii), INS 500(ii), INS 450(i)), COCOA SOLIDS (0.7%), REFINED WHEAT FLOUR, Dry Fruits powder, niacinamide, Maize Starch, SYNTHETIC FOOD COLOUR (INS 133)",nil
"Natural flavoring, Cocoa solids, EDIBLE VEGETABLE OILS (PALM), SWEETENERS( 951, 950)","SWEETENERS( 951, 950)"
"SYNTHETIC FOOD COLOURS (E102 & E133), Leavening agent , ELAICHI FLAVOUR, EDTA",nil
"EMULSIFIERS (322,472e,471), NATURAL ESSENTIAL OILS, FLOUR, Soy lecithin, Vitamin D",nil
"ascorbic acid, MIXED FRUIT, beta-carotene, Asafoetida",nil
"autolyzed yeast extract, PRESERVATIVES (280, 281 & 200], Cocoa Solids, CHOCO CREAM, EDIBLE COMMON SALT, ANTIOXIDANT (INS 322(1))",nil
"Edible common Sequestrant (339(1)), Mixed spices, EMULSIFIER",nil
"Flavour enhancer (635), Maple sugar, FRUIT JUICE POWDER, Leavening agent , azodicarbonamide",Maple sugar
"GLUTEN, ammonium hydroxide, ADDED FLAVOUR SUBSTANCES, SWEETENER (955)., ADDED ORANGE FLAVOUR",SWEETENER (955).
"Thickener (508), Edible starch, polysorbates",nil
"Yeast, riboflavin, PRESERVATIVES (280, 281 & 200], MALTODEXTRIN, Calcium chloride, Tricalcium Phosphate",nil
"Edible Salt, ACIDITY REGULATORS (338, 331, 330), Refined Palmolein oil, niacin, EMULS 472e, 481 (1), NATURAL COLOUR (150d)",nil
"Palmolein, RAISING AGENTS [503 (ii), 500 (ii) ), guar gum, calcium carbonate, niacin, Emulsifier (Soya lecithin), Sodium Benzoate (INS 211).",nil
"Maltitol, microparticulated egg white protein, Sodium Hydrogen Carbonate (Raising Agent, E500 (ii)), Spices & Condiments, EDTA",Maltitol
"NATURAL COLOUR (150d), SPICES AND CONDIMENTS , Edible Common Salt",nil
"Refined Palmolein oil, Flour Treatment Agent (1100), chymosin, FD&C Green No. 3",nil
"CEREAL PRODUCTS, nitrous oxide, high fructose corn syrup, Tricalcium Phosphate",high fructose corn syrup
"Acidity Regulator (260), NATURE IDENTICAL FLAVOURING SUBSTANCES CHOCOLATE, PRESERVATIVE (211), hydrolyzed soy protein, Spices, modified food starch, EMULS 472e, 481 (1)",nil
"Sodium Benzoate (INS 211)., STABILIZER (PECTIN) , alpha tocopherols, Edible Common salt",nil
"annatto extract, REFINED PALMOLEIN, wheat flour, silicon dioxide",nil
"Permitted Emulsifier (E481()), Vitamin B1 (The chloride hydrochloride), Calcium chloride, polysorbates",nil
"lodized Salt, FLAVOURING SUBSTANCES, calcium propionate, Water, Food Colours (171, 110, 102),",nil
"EMULSIFIERS (322,472e,471), wheat flour, Antioxidant(E300), NATURAL ESSENTIAL OILS, Ferrous Citrate, Soy Sauce Powder (soybean, wheat, salt), NATURAL CEREAL FIBRE",nil
"Vitamin D, Acidity Regulator (INS 330)., PRESERVATIVE (211), niacinamide, ammonium hydroxide, Gelatin, Thickener (508)",nil
"EMULSIFIERS (INS 322(1), INS 471)., EMULSIFIERS (E322, E476)., Yeast, PRESERVATIVES (280, 281 & 200], Ragi",nil
"Flax & Sesame Seeds, Sodium Hydrogen Carbonate (Raising Agent, E500 (ii)), MALTITOL (965)",MALTITOL (965)
"polysorbates, Stevia, Palmolien Oil, riboflavin, ascorbic acid, Whole Wheat Flour",Stevia
"Humectant (4510), Refined Wheat Flour, Mannitol, sodium benzoate, Antioxidant(E300)",Mannitol
"Cocoa Solids, EDIBLE COMMON SALT, WHEAT GLUTEN, Molasses, Organic Whole Millets Flour, SYNTHETIC FOOD COLOURS (110, 102), Double Toned Milk",Molasses
"Sweetener (960), potassium sorbate, Gur, RAGI FLOUR, Vitamin E","Sweetener (960), Gur"
"Organic Whole Wheat Flour, Hydrogenated Vegetable Oil, Whole Wheat Flour, Refined Wheat Flour (Maida), Erythritol, Vitamin B2",Erythritol
"glucose, Organic Jaggery, Rock Salt, IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], Hydrogenated vegetable fat","glucose, Organic Jaggery"
"BHT, Vitamin A (Ace Vitamin D2 (Ergocalciferol), Calcium chloride, Edible starch, Edible Vegetable Fat, Mannitol, SYNTHETIC FOOD COLOURS (INS 102 & 133)",Mannitol
"sucralose, Enzymes, SYNTHETIC FOOD COLOUR-124, disodium guanylate or inosinate, tocopherols, Acidity Regular (INS-330)",sucralose
"CONTAINS PERMITTED NATURAL COLOUR, Antioxidant(E300), Antioxidant (INS 300)., FRUIT JUICE POWDER, cochineal extract or carmine, SYNTHETIC FOOD COLOURS",nil
"calcium carbonate, RAISING AGENTS [503(ii),500(ii)], Spices & Condiments, Wheat Flour, Sodium Hydrogen Carbonate (Raising Agent, E500 (ii)), tocopherols, Milk solids",nil
"L-leucine, Noodle powder, mono- and diglycerides",nil
"Invert Syrup, potassium sorbate, L-tryptophan, calcium propionate, APPLE ACIDITY REGULATOR 330, corn syrup, EDIBLE VEGETABLE OILS (PALM)","Invert Syrup, corn syrup"
"Invert Syrup, FLAVOURING SUBSTANCE, Vitamin B2, ORANGE JUICE",Invert Syrup
"Hydrogenated vegetable fats, Vitamin D, Anticaking Agent E551, Isomalt, Tricalcium Phosphate, NATURAL ESSENTIAL OILS, Malt Extract","Isomalt, Malt Extract"
"mineral (Calcium carbonate), mono- and diglycerides, Milk Solids, papain",nil
"EDIBLE VEGETABLE OIL, cochineal extract or carmine, Acidity Regulator (260), CLASS II PRESERVATIVE, Guava Pulp, Maize Starch, WATER",nil
"Edible Vegetable Oil (Palmolein Oil), Sunflower Oil, Malt Extract",Malt Extract
"Organic Jaggery, Cinnamon, folate or folic acid",Organic Jaggery
"Spices & Condiments, Permitted Emulsifier (E481()), acesulfame-K, FD&C Red Nos. 3 and 40, Vitamin A (Ace Vitamin D2 (Ergocalciferol)",acesulfame-K
"WHEAT GLUTEN, FRUIT JUICE POWDER, ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), EMULS 472e, 481 (1)",nil
"ACIDITY REGULATORS (338, 331, 330), SPICES AND CONDIMENTS , stabilizer (INS 170), calcium propionate, caramel color, Butter, ANTICIDANT [300]",nil
"Antioxidant (INS 300)., Guava Pulp, Dextrose, alpha tocopherols, Stabilizer (407), Red Chilli Powder, ammonium phosphate",Dextrose
"Edible Vegetable Oil (Soyabean, Palmolein), BUTTER, Vitamin A (Ace Vitamin D2 (Ergocalciferol)",nil
"Edible Vegetable Oil (Mustard Oil), EMULSIFIERS (INS 322(1), INS 471)., FLAVOURING SUBSTANCE",nil
"Edible common Sequestrant (339(1)), Humectant (4510), nitrous oxide",nil
"Organic Jaggery, Xylitol, Anticaking Agent (INS 551), Edible common Sequestrant (339(1))","Organic Jaggery, Xylitol"
"calcium sorbate, Advantame, Leavening Agent (INS 500 {i}), WHEAT GLUTEN, Corn Flour, Tertiary Butylhydroquinone (Antioxidant, E319)",Advantame
"Acidity Regulator (E260), NATURAL CEREAL FIBRE, SOYA FLOUR, Yeast, RAISING NTS (INS 503(ii), INS 500(ii), INS 450(i)), COCOA SOLIDS (0.7%), sodium erythorbate, artificial flavor",nil
"Neotame, Tertiary Butylhydroquinone (Antioxidant, E319), Vitamin D",Neotame
"CAFFEINE, Black Salt, Edible Vegetable Oil (Mustard Oil), Ammonium sulfate, Dextrose, Neotame","Dextrose, Neotame"
"BHA, EDIBLE VEGETABLE OILS (PALM), disodium guanylate or inosinate, FD&C Blue Nos. 1 and 2",nil
"Emulsifier (Soya lecithin), Acesulfame Potassium (Ace-K), Cocoa Solids, aspartame, high fructose corn syrup, EMULS 472e, 481 (1)","Acesulfame Potassium (Ace-K), aspartame, high fructose corn syrup"
"WHEAT GLUTEN, Refined Wheat Flour (Maida), Brown sugar, polydextrose",Brown sugar
"papain, and spices, fruit and vegetable juices, EMULSIFIERS (INS 322(1), INS 471)., pectin",nil
"Bengal Gram , neotame, Thickeners (508 & 412),  ACIDITY REGULATORS (330, 331()), Rock Salt",neotame
"Soy lecithin, CORN FLAKES, Palm oil, edible palm oil, NATURAL FOOD COLOUR (150)",nil
"Emulsifier (INS 322), ARTIFICIAL SWEETENERS, EMULSIFYING STABILIZING AGENTS (INS 414, INS 331, INS 415), annatto extract",nil
"Leavening agent , azodicarbonamide, Yeast, Refined sugar",Refined sugar
"Acidity regulator (339(1)), Soy lecithin, ARTIFICIAL FLAVOURING SUBSTANCES, RAISING NTS (INS 503(ii), INS 500(ii), INS 450(i)), COCOA SOLIDS (0.7%), L-tryptophan, Hydrogenated vegetable fat",nil
"Peas, ARTIFICIAL FLAVOUR SUBSTANCES (ROSE), NATURAL CEREAL FIBRE, MIXED FRUIT, Noodle powder, ARTIFICIAL SWEETENERS, Wheat flour (Maida)",nil
"Powdered sugar, RAISING AGENTS[503(ii),500 (ii),450(1)], cocoa solids",Powdered sugar
"Acidity regulators (330&500()), Gelatin, ARTIFICIAL SWEETENERS, Purified Water, EMULSIFIER",nil
"NATURAL SPICE OILS, Thiamine hydrochloride, HYDROGENATED VEGETABLE FAT, xanthan gum",nil
"Saccharin, Anticaking Agent E551, Vitamin D, saccharin, Antioxidant (INS 300).","Saccharin, saccharin"
"ELAICHI FLAVOUR, Edible Common Salt, Anticaking Agent E551",nil
"Gur (Jaggery), tocopherols, ELAICHI FLAVOUR, EDIBLE COMMON SALT, egg yolks, sucralose","Gur (Jaggery), sucralose"
"Cocoa Solids, Ferrous Citrate, Potassium Carbonate (Acidity Regulator, E501(i)), FD&C Green No. 3, Organic Whole Millets Flour, CONTAINS PERMITTED NATURAL COLOUR, nitrous oxide",nil
"COMMON SALT, EDIBLE VEGETABLE OIL (PALM), Spices & Condiments, Monosodium glutamate",nil
"mannitol, Acidity regulator (339(1)), riboflavin, Orange Juice Concentrate, L-methionine, SYNTHETIC FOOD COLOURS (110, 102)",mannitol
"acesulfame potassium, NATURAL SPICE OILS, Rock Salt, Organic Jaggery, ANTICIDANT [300]","acesulfame potassium, Organic Jaggery"
"Edible Vegetable Fat, Dextrose, beta carotene, Acesulfame Potassium (Ace-K), CORN FLAKES, disodium guanylate or inosinate","Dextrose, Acesulfame Potassium (Ace-K)"
"Double Toned Milk, Acesulfame Potassium (Ace-K), RICE FLOUR, ACIDITY REGULATOR (CITRIC ACID), ARTIFICIAL SWEETENERS, Mixed spices, Acidity Regulator (INS 330).",Acesulfame Potassium (Ace-K)
"Milk solids, Sweetener (960), Mixed Spices, Class II Preservatives (E282), Acidity Regulator (INS 330)., Monosodium glutamate, glucose","Sweetener (960), glucose"
"Flavour enhancer (635), Antioxidant (300)., LIQUID GLUCOSE, Rice Flakes, Class II Preservatives (E282), Soy Sauce Powder (soybean, wheat, salt), WHEAT FLOUR",LIQUID GLUCOSE
"EMULSIFIERS [481(i), 471 & 472e], Synthetic Food Colour (INS-122)(INS-124), Refined Soyabean Oil",nil
"Lactitol, EDIBLE VEGETABLE OIL (PALM), Sucralose, Powdered sugar, ADDED FLAVOUR (NATURAL FLAVOURING SUBSTANCES, Butter","Lactitol, Sucralose, Powdered sugar"
"nitrous oxide, PRESERVATIVE (INS234), Red Chilli Powder, Sweetener (960), HONEY","Sweetener (960), HONEY"
"calcium sorbate, citric acid, paprika oleoresin, FRUIT AND VEGETABLE EXTRACTS",nil
"BHA, Butter, EMULSIFIER, Hydrogenated vegetable fat, Edible Vegetable Oil (Mustard Oil)",nil
"Sodium Polyphosphate (Emulsifying Agent, E452(i)), EDIBLE COMMON SALT, riboflavin, Vitamin B1 (The chloride hydrochloride), EMULSIFIERS (322,412,472e,471)",nil
"ADDED ORANGE FLAVOURS , REFINED PALMOLEIN, Synthetic Food Colour (INS-122)(INS-124), whey, guar gum, polysorbates",nil
"Soy lecithin, Refined Wheat Flour (Maida), SYNTHETIC FOOD COLOURS (E102 & E133), Antioxidant (INS 300)., ADDED FLAVOUR (NATURAL FLAVOURING SUBSTANCES, Maltitol",Maltitol
"Edible Vegetable Oil (Soyabean, Palmolein), Wheat gluten, HONEY, SPICES AND CONDIMENTS , Organic Whole Wheat Flour, ACIDITY REGULATOR (CITRIC ACID)",HONEY
"alpha tocopherols, Ascorbic acid, WHOLE WHEAT FLOUR(ATTA)",nil
"Organic Whole Millets Flour, EMULSIFIERS (322,472e,471), MALTITOL (965)",MALTITOL (965)
"azodicarbonamide, PRESERVATIVE (211), FLOUR, L-tryptophan, Edible vegetable oil (Palm oil), Cold Pressed Coconut Oil, EDTA",nil
"EDIBLE VEGETABLE OIL, Wheat Gluten, GLUTEN, Class II Preservatives (E282), HYDROGENATED VEGETABLE FAT, Sucrose, Flavour Enhancers E627 E631",Sucrose
"Invert Syrup, Leavening agents ((5000), 503)), Sunflower Oil",Invert Syrup
"Bengal gram dal, Spices, EMULS 472e, 481 (1)",nil
"Edible Vegetable Oil (Mustard Oil), Emulsifier (INS 322), EMULS 472e, 481 (1), ascorbic acid, Anticaking Agent E551, artificial flavor, NATURAL ESSENTIAL OILS",nil
"Palm oil, sodium carbonate, disodium guanylate or inosinate, Antioxidant (300)., Vitamins, FD&C Green No. 3, Cold Pressed Coconut Oil",nil
"potassium iodide, microparticulated egg white protein, corn syrup, Edible Vegetable Fat, SOYA FLOUR, sucralose","corn syrup, sucralose"
"Edible Vegetable Oil (Soyabean, Palmolein), Lactic acid, sorbitan monostearate, IMPROVERS[170(1) 510], Soy Sauce Powder (soybean, wheat, salt), Mannitol, Sweetener (960)","Mannitol, Sweetener (960)"
"Invert Syrup, Tertiary Butylhydroquinone (Antioxidant, E319), cocoa solids, calcium sorbate, Dextrose","Invert Syrup, Dextrose"
"Cellulose gel, ARTIFICIAL SWEETENERS, Sunflower Oil, Ascorbic acid, Leavening Agent (INS 500 {i}), ACIDITY REGULATOR (CITRIC ACID)",nil
"Vitamin B2, EDTA, Neotame, Salt, fructose","Neotame, fructose"
"Water, SYNTHETIC FOOD COLOURS, Gelatin, ADDED ORANGE FLAVOURS , SOYA FLOUR, beta-carotene",nil
"Toned Milk, pectin, Molasses",Molasses
"Flour Treatment Agent (1100), Cinnamon, silicon dioxide, Acidity Regulator(INS 330 & INS 260), Peanut",nil
"COLOUR(S) (INS 150c, INS 150d), Edible Vegetable Fat, Turmeric Powder",nil
"L-cysteine, Wheat gluten, ARTIFICIAL SWEETENERS, WHEAT FLOUR, Acidity regulators (330&500()), calcium propionate",nil
"fruit and vegetable juices, Lactic acid, alpha tocopherols, Advantame",Advantame
"IMPROVER [BLEND OF ANTIOXIDANT 300, ANTICAKING AGENT 170(i) & FLOUR IMPROVER 1100], Spices & Condiments, EDIBLE COMMON SALT, sugar, SYNTHETIC FOOD COLOURS (INS 102 & 133), high fructose corn syrup","sugar, high fructose corn syrup"
"Edible common Sequestrant (339(1)), Edible Vegetable Oil (Palmolein Oil), Molasses, Orange Juice Concentrate, Hydrogenated Vegetable Oil, NATURAL CEREAL FIBRE",Molasses
"Potassium Chloride (Gelling Agent, E508), Refined Wheat Flour, ELAICHI FLAVOUR, Thiamine hydrochloride, Hydrogenated vegetable fat, Acidity Regulator (INS-330)",nil
"Edible Vegetable Oil (Soyabean, Palmolein), Brown sugar, caramel color",Brown sugar
"Maize Starch, carrageenan, FLAVOURING SUBSTANCE, Hydrogenated vegetable fat",nil
"Stabilisers (415, 466, 1400),, egg yolks, IMPROVERS[170(1) 510], Mixed Spices, mineral (Calcium carbonate)",nil
"COCOA SOLIDS, Iodized salt, PRESERVATIVE (INS234), Emulsifier ((471),460())",nil
"CEREAL PRODUCTS, Xylitol, Potassium Chloride (Gelling Agent, E508), ADDED FLAVOUR SUBSTANCES, Steviol Glycosides, SYNTHETIC FOOD COLOURS","Xylitol, Steviol Glycosides"
"NATURAL COLOUR (150d), glucose, ACIDITY REGULATORS (330, 331()), COMMON SALT, acesulfame-K, Class II Preservatives (E282)","glucose, acesulfame-K"
"BUTTER, Vitamin D, Acidity Regular (INS-330), Class II Preservatives (E282), Edible Vegetable Oil (Mustard Oil), SWEETENER (955).",SWEETENER (955).
"Agave syrup, NATURAL COLOUR (160a (i)), CONTAINS PERMITTED NATURAL COLOUR, MALTITOL (965), Carbon dioxide, NATURAL ESSENTIAL OILS","Agave syrup, MALTITOL (965)"
"FLOUR, RICE FLOUR, Saccharin, ARTIFICIAL FLAVOUR SUBSTANCES (ROSE)",Saccharin
"Dehydrated Vegetables (carrot, parsley), sodium carbonate, Brown sugar, OATS, Acidity Regulator (INS 330)., CARBONATED WATER, Dry Fruits powder",Brown sugar
"CHOCO CREAM, Sunflower Oil, acesulfame potassium, Calcium chloride, Refined Wheat flour (Maida), colour (INS 150d), Maltodextrin","acesulfame potassium, Maltodextrin"
"Ragi, FRUIT JUICE POWDER, high fructose corn syrup, DOUGH CONDITIONER (223), MALTITOL (965)","high fructose corn syrup, MALTITOL (965)"
"Sodium Hydrogen Carbonate (Raising Agent, E500 (ii)), Calcium sulfate, Acidity regulator (339(1))",nil
"stabilizer (INS 170), sodium erythorbate, wheat flour, Orange Fruit Powder, Spices, ADDED FLAVOUR NATURE IDENTICAL FLAVOURING SUBSTANCE",nil
"Palm oil, APPLE ACIDITY REGULATOR 330, Edible Salt, fruit and vegetable juices, Maltodextrin",Maltodextrin
"EMULS 472e, 481 (1), Maize Starch, SWEETENER (955).",SWEETENER (955).
"Edible Salt, Agave syrup, Rock Salt, ADDED FLAVOUR NATURE IDENTICAL FLAVOURING SUBSTANCE, Black Salt",Agave syrup
"BUTTER, PRESERVATIVE-211, sodium benzoate, BHA, Antioxidant (INS 300)., STABILIZER (E 440), ARTIFICIAL FLAVOURING SUBSTANCES",nil
"Vitamin B1 (The chloride hydrochloride), Rice Flakes, SYNTHETIC FOOD COLOUR (INS 133), Natural flavoring, niacinamide, ORANGE JUICE",nil
"colour (INS 150d), Bengal Gram , COLOUR(S) (INS 150c, INS 150d), Leavening Agent (INS 500 {i}), RAISING NTS (INS 503(ii), INS 500(ii), INS 450(i)), COCOA SOLIDS (0.7%), SYNTHETIC FOOD COLOURS (INS 102 & 133), Sucrose",Sucrose
"Edible Vegetable Oil (Mustard Oil), Water, Bengal gram dal, guar gum",nil
"FLAVOURING SUBSTANCE, Flax & Sesame Seeds, Enzymes, sodium nitrite, Flour Treatment Agent (1100), Advantame, Salt",Advantame
"COLOUR(S) (INS 150c, INS 150d), EDIBLE COMMON SALT, Antioxidant (INS 320), COCOA BUTTER, ARTIFICIAL FLAVOURING SUBSTANCES-VANILLA, CHOCOLATE",nil
